cond,theme,type,thisN,thisTrialN,thisRepN,stim_onset,resp_onset,resp,rt
loss,Present,1,0,0,1,9.587678887000038,12.594341898000494,2,1.5796101229998385
gain,Future,2,1,1,1,22.722317965000002,25.725934161000623,3,1.2192211139999927
loss,Future,1,2,2,1,35.81367377300012,38.82790934000059,4,0.35263737399964157
gain,Present,1,3,3,1,47.9126175880001,50.913387777000025,1,0.31865496299997176
