cond,theme,type,thisN,thisTrialN,thisRepN,stim_onset,resp_onset,resp,rt
gain,Future,1,0,0,1,9.562685768999472,12.578941451999526,,
loss,Present,2,1,1,1,18.712833069000226,21.713139896999564,,
loss,Future,2,2,2,1,31.810666786999718,34.81614453699967,3,0.3521041920002972
gain,Present,2,3,3,1,42.914997066999604,45.91598258999966,,
